ID	GeneID	geneSymbol	chr	strand	IncLevel1	IncLevel2	PValue	event
21	ENSG00000087460.23_2	GNAS	chr20	+	0.0,0.25,0.0,0.0,NA,0.0,0.0,0.219,0.217,0.0,0.033,0.0,NA	0.0,0.416,NA,0.0,0.0,0.0,0.021,0.0,0.565,0.0	1	A3SS
2696	ENSG00000112531.16_1	QKI	chr6	+	0.644,0.063,0.192,0.126,1.0,1.0,NA,0.0,0.964,1.0,1.0,0.738,NA	1.0,0.732,NA,1.0,NA,0.24,0.976,0.0,1.0,0.763	1	A3SS
2698	ENSG00000112531.16_1	QKI	chr6	+	1.0,0.603,1.0,0.184,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,0.918,0.786,1.0,1.0,1.0	1	A3SS
3597	ENSG00000171617.13_2	ENC1	chr5	-	1.0,1.0,1.0,1.0,NA,0.846,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1	A3SS
4299	ENSG00000144713.12_1	RPL32	chr3	-	0.0,0.036,0.0,0.0,0.0,0.0,0.198,0.0,0.0,0.0,0.0,0.0,NA	0.001,0.0,NA,NA,0.0,0.0,0.0,0.0,0.061,0.418	1	A3SS
5096	ENSG00000167614.13_2	TTYH1	chr19	+	0.0,0.004,NA,0.269,0.0,0.0,0.0,NA,0.487,0.0,0.0,0.0,1.0	0.0,1.0,NA,0.0,0.0,0.735,0.0,0.0,0.211,0.0	1	A3SS
5811	ENSG00000133112.16_1	TPT1	chr13	-	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA	0.0,0.0,NA,0.0,0.0,0.0,0.0,0.113,0.0,0.0	1	A3SS
206	ENSG00000107317.11_2	PTGDS	chr9	+	0.0,0.039,0.003,0.0,0.021,0.102,0.0,1.0,0.0,0.0,0.164,0.0,0.884	0.0,0.019,NA,1.0,0.0,0.05,0.063,0.0,0.168,0.0	1	A5SS
614	ENSG00000162734.12_2	PEA15	chr1	+	0.765,1.0,1.0,1.0,NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0	1.0,1.0,NA,NA,1.0,1.0,0.85,1.0,1.0,1.0	1	A5SS
982	ENSG00000156508.17_2	EEF1A1	chr6	-	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA	0.0,0.0,NA,0.0,0.0,0.136,0.0,0.0,0.0,NA	1	A5SS
1937	ENSG00000197971.14_2	MBP	chr18	-	1.0,1.0,NA,1.0,1.0,1.0,1.0,0.638,1.0,1.0,0.999,1.0,1.0	NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0	1	A5SS
3935	ENSG00000111640.14_1	GAPDH	chr12	+	0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,NA	0.0,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0	1	A5SS
5	ENSG00000123329.17_2	ARHGAP9	chr12	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
10	ENSG00000178568.14_2	ERBB4	chr2	-	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
15	ENSG00000139436.20_2	GIT2	chr12	-	NA,0.312,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
28	ENSG00000179818.9	PCBP1-AS1	chr2	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	1	MXE
29	ENSG00000179818.9	PCBP1-AS1	chr2	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	1	MXE
31	ENSG00000179818.9	PCBP1-AS1	chr2	-	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	1	MXE
37	ENSG00000135720.12_2	DYNC1LI2	chr16	-	NA,0.576,NA,NA,NA,NA,NA,1.0,0.703,NA,1.0,NA,NA	1.0,0.0,NA,NA,NA,1.0,NA,NA,NA,NA	1	MXE
41	ENSG00000130294.14_1	KIF1A	chr2	-	1.0,1.0,NA,0.996,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,0.0,0.275,1.0,0.0,NA	1	MXE
43	ENSG00000105197.10_2	TIMM50	chr19	+	NA,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
48	ENSG00000111540.15_1	RAB5B	chr12	+	NA,0.576,NA,0.0,1.0,1.0,NA,1.0,0.0,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,0.049,0.0,NA,0.0,NA	1	MXE
49	ENSG00000204149.10_2	AGAP6	chr10	+	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA	1	MXE
50	ENSG00000165525.17_1	NEMF	chr14	-	NA,0.609,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,1.0,NA	NA,NA,NA,NA,NA,1.0,0.415,NA,0.0,NA	1	MXE
52	ENSG00000185046.18_2	ANKS1B	chr12	-	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA	1.0,NA,NA,NA,1.0,0.407,1.0,1.0,NA,NA	1	MXE
53	ENSG00000185046.18_2	ANKS1B	chr12	-	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA	1.0,NA,NA,NA,1.0,0.41,1.0,1.0,NA,NA	1	MXE
54	ENSG00000185046.18_2	ANKS1B	chr12	-	NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,1.0,NA	1.0,NA,NA,NA,NA,0.597,1.0,1.0,1.0,NA	1	MXE
65	ENSG00000116299.16_1	KIAA1324	chr1	+	1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.687,NA,1.0,NA,NA	1	MXE
69	ENSG00000132122.11_2	SPATA6	chr1	-	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA	1	MXE
74	ENSG00000184313.19_2	MROH7	chr1	+	NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	1	MXE
75	ENSG00000184313.19_2	MROH7	chr1	+	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1	MXE
78	ENSG00000142687.17_2	KIAA0319L	chr1	-	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,1.0	1	MXE
80	ENSG00000108848.15_2	LUC7L3	chr17	+	0.0,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
81	ENSG00000143549.19_1	TPM3	chr1	-	NA,0.008,NA,NA,NA,1.0,NA,0.0,0.6,0.0,1.0,NA,NA	NA,NA,NA,NA,NA,0.525,NA,NA,0.0,0.0	1	MXE
85	ENSG00000163618.17_2	CADPS	chr3	-	NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0	1	MXE
86	ENSG00000163618.17_2	CADPS	chr3	-	NA,0.0,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
90	ENSG00000183117.18_2	CSMD1	chr8	-	NA,1.0,NA,0.445,NA,1.0,NA,1.0,0.0,NA,1.0,0.0,NA	0.466,NA,NA,NA,NA,NA,NA,0.956,NA,NA	1	MXE
93	ENSG00000155749.12_1	ALS2CR12	chr2	-	NA,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	1	MXE
97	ENSG00000153310.18_2	FAM49B	chr8	-	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	1	MXE
113	ENSG00000041357.15_1	PSMA4	chr15	+	NA,0.553,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,1.0	1	MXE
114	ENSG00000041357.15_1	PSMA4	chr15	+	NA,0.178,0.833,NA,NA,NA,NA,0.994,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	1	MXE
126	ENSG00000165495.15_2	PKNOX2	chr11	+	NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA	0.611,0.0,NA,NA,NA,NA,0.0,NA,0.0,NA	1	MXE
128	ENSG00000128989.10_1	ARPP19	chr15	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1	MXE
154	ENSG00000118482.11_1	PHF3	chr6	+	NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA	1.0,NA,NA,NA,NA,NA,1.0,0.0,NA,NA	1	MXE
157	ENSG00000141084.10_2	RANBP10	chr16	-	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	1	MXE
160	ENSG00000102984.14_2	ZNF821	chr16	-	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA	1	MXE
