ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93089732	93089891	93073005	93073284	93091350	93091491	0	0,6,0,0,0,18,0,0,2,0,0,0,0	0,0,1,204,0,0,0,0,0,0,0,0,0	0,2,0,0,0,2,0,65,158,0	0,0,0,0,0,0,0,0,0,0	309	150	1	1.0	NA,1.0,0.0,0.0,NA,1.0,NA,NA,1.0,NA,NA,NA,NA	NA,1.0,NA,NA,NA,1.0,NA,1.0,1.0,NA	-0.4
1	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93128275	93128422	93101758	93101893	93128976	93129009	1	0,0,0,0,0,0,0,0,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,156,0	0,75,0,0,0,0,0,0,0,55	0,0,0,0,0,0,0,0,0,0	297	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,1.0	-0.5
29	"ENSG00000132434.9_1"	"LANCL2"	chr7	+	55447339	55447526	55433803	55433922	55459485	55459603	29	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,7,0	0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,19,0,0,0	337	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	-0.5
85	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57473995	57474040	57470217	57470739	57478582	57478640	85	28,334,0,219,0,265,0,117,124,0,7,0,0	0,43,0,0,95,147,0,0,0,0,0,0,0	32,73,0,0,0,76,1,0,221,78	0,0,0,0,0,0,2,0,0,47	195	150	1	1.0	1.0,0.857,NA,1.0,0.0,0.581,NA,1.0,1.0,NA,1.0,NA,NA	1.0,1.0,NA,NA,NA,1.0,0.278,NA,1.0,0.561	-0.002
86	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57473995	57474040	57470217	57470739	57478585	57478611	86	256,758,282,220,0,414,1,213,279,5,205,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	65,101,0,1,1,202,93,8,173,81	0,0,0,0,59,0,49,0,0,0	195	150	1	1.0	1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA	1.0,1.0,NA,1.0,0.013,1.0,0.593,1.0,1.0,1.0	0.155
94	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	174935	175072	169124	169254	180520	180590	94	0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,76	0,0,0,0,0,0,0,0,0,0	287	150	1	1.0	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-1.0
112	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239656008	239656107	239549864	239550527	239708940	239709049	112	0,0,0,0,0,255,0,0,0,0,0,0,0	0,0,38,0,0,0,0,0,0,0,0,0,0	739,0,0,0,0,3,0,0,0,0	0,0,0,0,0,0,0,0,0,0	249	150	1	1.0	NA,NA,0.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	-0.5
113	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239708940	239709049	239549864	239550527	239841485	239841588	113	0,9,0,0,0,0,0,0,0,0,58,0,0	0,0,0,0,0,0,0,0,8,0,0,0,0	0,0,0,0,0,0,0,130,305,0	0,0,0,0,0,0,0,0,0,0	259	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA	-0.333
114	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239795523	239795586	239708940	239709049	239841485	239841588	114	0,224,38,0,0,0,0,0,42,0,208,0,0	0,9,0,0,0,0,0,0,0,0,58,0,0	369,0,0,0,54,0,0,0,0,0	0,0,0,0,0,0,0,130,305,0	213	150	1	1.0	NA,0.946,1.0,NA,NA,NA,NA,NA,1.0,NA,0.716,NA,NA	1.0,NA,NA,NA,1.0,NA,NA,0.0,0.0,NA	0.415
115	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239990551	239990678	239841485	239841588	240070732	240071080	115	0,4,0,0,0,0,0,0,0,0,244,0,0	0,16,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,99,0,259,244,0	0,0,0,0,0,0,0,0,0,0	277	150	1	1.0	NA,0.119,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,1.0,NA,1.0,1.0,NA	-0.441
122	"ENSG00000196372.12_1"	"ASB13"	chr10	-	5684435	5684516	5683732	5683924	5690932	5691067	122	0,0,0,0,0,0,0,0,0,0,0,0,0	0,75,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,197,0,0,0	0,0,0,0,0,0,0,0,0,0	231	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-1.0
126	"ENSG00000004660.14_1"	"CAMKK1"	chr17	-	3785550	3785664	3784920	3784942	3785821	3785858	126	0,2,0,0,0,0,0,0,0,28,0,0,0	0,7,0,0,0,25,0,0,4,0,207,0,0	54,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,3,0,0,0	264	150	1	1.0	NA,0.14,NA,NA,NA,0.0,NA,NA,0.0,1.0,0.0,NA,NA	0.939,NA,NA,NA,NA,NA,0.0,NA,NA,NA	-0.241
144	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	65992881	65993010	65989604	65989721	65993388	65993530	144	0,10,0,0,0,0,0,290,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0,550,0,0	0,0,0,0,0,0,0,89,0,0	0,0,0,0,0,75,0,0,0,0	279	150	1	1.0	NA,1.0,NA,NA,NA,NA,NA,1.0,1.0,NA,0.0,NA,NA	NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	0.25
145	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	65992881	65993013	65989604	65989721	65993388	65993530	145	0,0,0,0,0,0,0,16,8,0,0,0,0	0,0,0,0,0,0,0,0,0,0,550,0,0	112,0,0,0,0,0,0,0,0,0	0,0,0,0,0,75,0,0,0,0	282	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA,0.0,NA,NA	1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.167
153	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	166036061	166036201	166032640	166032954	166043060	166043257	153	0,6,367,0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,43,9,0,0,0,0	0,0,0,0,0,48,0,3,0,0	0,0,0,0,0,0,0,10,0,0	290	150	1	1.0	NA,1.0,1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,0.134,NA,NA	0.033
165	"ENSG00000081760.16_2"	"AACS"	chr12	+	125562641	125562916	125561036	125561157	125570875	125570989	165	0,0,0,0,0,0,0,0,3,0,0,0,0	0,73,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,96,0	425	150	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	0.5
186	"ENSG00000008282.8_1"	"SYPL1"	chr7	-	105733009	105733115	105731902	105732385	105733394	105733583	186	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,188,0,0,18,0,0,0,0	0,0,0,0,0,0,0,0,66,0	0,0,0,1,0,0,0,0,0,0	256	150	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA	-0.5
202	"ENSG00000002746.14_2"	"HECW1"	chr7	+	43283473	43283531	43152243	43152536	43351361	43351686	202	0,0,0,0,0,0,0,0,30,0,69,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,61,0,0,0,0	0,0,0,0,0,21,0,0,0,0	208	150	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.677,NA,NA,NA,NA	0.323
203	"ENSG00000002746.14_2"	"HECW1"	chr7	+	43283473	43283531	43153755	43153990	43351361	43351686	203	0,0,0,0,0,0,0,0,30,0,69,0,0	0,0,0,396,0,0,0,0,0,0,0,0,0	144,0,0,0,0,61,0,0,0,0	0,0,0,0,0,0,155,0,0,0	208	150	1	1.0	NA,NA,NA,0.0,NA,NA,NA,NA,1.0,NA,1.0,NA,NA	1.0,NA,NA,NA,NA,1.0,0.0,NA,NA,NA	0.0
