ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867824	57867959	57868205	57868259	57867385	57867491	57868408	57868486	5	0,0,0,0,0,0,0,0,0,0,0,92,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,26,0,0,0,0	204	285	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
10	"ENSG00000178568.14_2"	"ERBB4"	chr2	-	212522478	212522553	212522674	212522719	212495186	212495319	212530047	212530202	10	0,96,0,0,0,0,0,0,0,0,133,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,69,0,0,0	195	225	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	0.667
15	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110385309	110389016	110389121	110376969	110377052	110390896	110391039	15	0,33,0,0,0,0,0,0,1,0,112,0,0	5,86,0,0,0,77,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,31,0	0,0,0,0,0,4,13,0,0,0	255	399	1	1.0	0.0,0.375,NA,NA,NA,0.0,NA,NA,1.0,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.0,0.0,NA,1.0,NA	0.142
25	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70312678	70312756	25	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,70,0,0,0,0	188	347	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	1.0
26	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310638	70310819	70278334	70278437	70312678	70312756	26	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,70,0,0,0,0	331	347	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,1.0	0.5
27	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310669	70310819	70278334	70278437	70312678	70312756	27	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,70,0,0,0,0	300	347	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0,NA	NA,NA,NA,NA,NA,0.047,NA,NA,NA,1.0	0.477
28	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70278334	70278437	70312678	70312756	28	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	188	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.376
29	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310669	70310819	70278334	70278437	70312678	70312756	29	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,3,0,0,0,18	0,0,0,0,0,0,0,0,0,0	300	188	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267,1.0,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0	-0.367
31	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70282845	70283042	70312678	70312756	31	0,0,0,0,0,0,0,0,0,0,185,2,0	0,0,0,0,0,0,0,0,0,0,319,0,0	0,0,0,0,0,0,0,0,0,18	0,0,0,0,0,0,0,0,0,0	331	188	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.248,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0	-0.376
37	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66776340	66776571	66783099	66783216	66769977	66770147	66785175	66785249	37	0,88,0,0,0,0,0,1,63,0,12,0,0	0,147,1,1,0,0,0,158,45,0,2,0,30	238,0,0,0,0,122,0,0,0,0	268,16,0,0,0,0,9,0,0,0	267	381	1	1.0	NA,0.461,0.0,0.0,NA,NA,NA,0.009,0.666,NA,0.895,NA,0.0	0.559,0.0,NA,NA,NA,1.0,0.0,NA,NA,NA	-0.1
41	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241667805	241667829	241674135	241674162	241666242	241666357	241676479	241676585	41	3,19,0,233,0,0,0,0,2,0,0,1,0	0,0,0,1,0,0,0,0,0,0,0,0,0	0,466,0,0,0,0,139,150,0,0	0,0,0,0,0,50,361,0,1,0	177	174	1	1.0	1.0,1.0,NA,0.996,NA,NA,NA,NA,1.0,NA,NA,1.0,NA	NA,1.0,NA,NA,NA,0.0,0.275,1.0,0.0,NA	0.544
43	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973556	39976183	39976242	39972522	39972673	39976327	39976447	43	0,0,0,0,0,1,0,0,0,0,0,0,0	0,41,0,0,0,0,0,0,2,0,0,39,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	182	209	1	1.0	NA,0.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,0.0,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.25
48	"ENSG00000111540.15_1"	"RAB5B"	chr12	+	56383730	56383882	56384465	56384588	56380652	56380907	56385143	56385237	48	0,90,0,0,1,1,0,19,0,0,239,0,0	0,60,0,67,0,0,0,0,3,0,0,0,0	0,5,0,0,0,4,0,0,0,0	0,0,0,0,0,70,2,0,3,0	302	273	1	1.0	NA,0.576,NA,0.0,1.0,1.0,NA,1.0,0.0,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,0.049,0.0,NA,0.0,NA	0.391
49	"ENSG00000204149.10_2"	"AGAP6"	chr10	+	51751435	51751504	51754154	51754189	51749067	51749136	51761755	51761856	49	0,0,0,0,0,0,0,0,0,0,0,0,0	11,71,0,0,0,0,0,0,0,0,0,0,0	0,359,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,0	219	185	1	1.0	0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA	-0.99
50	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50307435	50307584	50312857	50312983	50304856	50304924	50318280	50318383	50	0,89,0,0,0,0,0,0,0,0,0,159,0	0,62,0,0,4,4,0,0,0,0,3,0,0	0,0,0,0,0,8,98,0,0,0	0,0,0,0,0,0,150,0,327,0	276	299	1	1.0	NA,0.609,NA,NA,0.0,0.0,NA,NA,NA,NA,0.0,1.0,NA	NA,NA,NA,NA,NA,1.0,0.414,NA,0.0,NA	-0.15
52	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201693	99222951	99223131	99194774	99194903	99225806	99225914	52	59,55,0,0,0,0,0,0,12,572,340,40,965	0,0,0,0,0,0,0,0,0,0,0,0,0	84,0,0,0,34,53,126,72,0,99	0,0,0,0,0,57,0,0,0,0	330	222	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0	1.0,NA,NA,NA,1.0,0.385,1.0,1.0,NA,1.0	0.103
53	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99222951	99223131	99194774	99194903	99225806	99225914	53	59,55,0,0,0,0,0,0,12,572,340,40,965	0,0,0,0,0,0,0,0,0,0,0,0,0	84,0,0,0,34,53,126,72,0,99	0,0,0,0,0,57,0,0,0,0	330	225	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,1.0,1.0,1.0,1.0,1.0	1.0,NA,NA,NA,1.0,0.388,1.0,1.0,NA,1.0	0.102
54	"ENSG00000185046.18_2"	"ANKS1B"	chr12	-	99201621	99201696	99225806	99225914	99194774	99194903	99446934	99447087	54	0,123,0,0,0,50,0,19,0,0,775,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0	220,0,0,0,0,97,33,1,5,0	0,0,0,0,0,57,0,0,0,0	258	225	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,1.0,NA,NA,1.0,1.0,NA	1.0,NA,NA,NA,NA,0.597,1.0,1.0,1.0,NA	0.081
65	"ENSG00000116299.16_1"	"KIAA1324"	chr1	+	109716309	109716459	109727666	109727755	109716095	109716201	109730798	109730976	65	7,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,58,0,8,0,0	0,0,0,0,0,21,0,0,0,0	300	239	1	1.0	1.0,1.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.688,NA,1.0,NA,NA	-0.177
69	"ENSG00000132122.11_2"	"SPATA6"	chr1	-	48878781	48878823	48917223	48917272	48877135	48877260	48918665	48918803	69	0,2,0,0,0,132,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,153,0,0,0	0,0,0,0,0,0,22,0,0,0	199	192	1	1.0	NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA	0.13
74	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55145563	55145718	55148328	55148467	55144935	55145112	55151930	55152121	74	0,0,0,0,0,0,0,0,30,0,0,0,0	0,0,27,0,0,0,0,0,30,0,251,0,0	0,0,0,0,0,0,0,0,111,0	0,0,0,0,0,0,228,0,0,0	305	289	1	1.0	NA,NA,0.0,NA,NA,NA,NA,NA,0.487,NA,0.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,1.0,NA	-0.338
75	"ENSG00000184313.19_2"	"MROH7"	chr1	+	55148328	55148467	55151930	55152121	55145563	55145718	55158096	55158234	75	27,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,47,0,0	289	341	1	1.0	1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1.0
76	"ENSG00000001631.15_2"	"KRIT1"	chr7	-	91874215	91874485	91874740	91874888	91871347	91871451	91875157	91875228	76	0,5,0,0,0,0,0,0,0,0,0,0,0	4,0,0,0,222,0,0,0,0,0,16,0,0	0,296,0,0,0,0,0,0,0,0	8,0,0,0,51,0,7,8,0,0	298	420	1	1.0	0.0,1.0,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA,NA	0.0,1.0,NA,NA,0.0,NA,0.0,0.0,NA,NA	0.05
78	"ENSG00000142687.17_2"	"KIAA0319L"	chr1	-	35936463	35936561	35940405	35940507	35932208	35932296	35944566	35944813	78	0,174,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,67	0,0,0,0,35,0,150,0,6,0	252	248	1	1.0	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,0.0,NA,0.0,1.0	0.25
80	"ENSG00000108848.15_2"	"LUC7L3"	chr17	+	48814647	48814840	48815501	48815560	48814320	48814387	48817666	48817706	80	0,0,0,185,0,0,0,0,0,0,0,1,0	73,0,0,0,16,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,97,0	0,0,0,0,0,0,0,0,0,0	343	209	1	1.0	0.0,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-0.5
81	"ENSG00000143549.19_1"	"TPM3"	chr1	-	154143888	154143964	154144504	154144580	154143124	154143187	154145383	154145454	81	0,1,0,0,0,1,0,0,9,0,241,0,0	0,125,0,0,0,0,0,1,6,1,0,0,0	0,0,0,0,0,115,0,0,0,0	0,0,0,0,0,104,0,0,44,85	226	226	1	1.0	NA,0.008,NA,NA,NA,1.0,NA,0.0,0.6,0.0,1.0,NA,NA	NA,NA,NA,NA,NA,0.525,NA,NA,0.0,0.0	0.26
85	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62479319	62479340	62483820	62483829	62477964	62478121	62484836	62484943	85	0,0,0,59,0,0,0,0,0,0,0,0,0	0,0,0,184,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,74,0,0,1	0,0,0,0,0,0,0,0,0,0	159	171	1	1.0	NA,NA,NA,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,1.0	-0.744
86	"ENSG00000163618.17_2"	"CADPS"	chr3	-	62498425	62498443	62499312	62499381	62484836	62484943	62501733	62501857	86	0,0,0,0,0,0,0,0,41,0,0,0,0	0,111,0,184,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,36,0,0,0,0	219	168	1	1.0	NA,0.0,NA,0.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	-0.167
90	"ENSG00000183117.18_2"	"CSMD1"	chr8	-	4277474	4277587	4494863	4495080	3889426	3889621	4851853	4852223	90	0,84,0,11,0,15,0,318,0,0,371,0,0	0,0,0,12,0,0,0,0,22,0,0,50,0	1,0,0,0,0,101,1,75,162,0	1,0,0,0,0,0,0,3,0,0	367	263	1	1.0	NA,1.0,NA,0.396,NA,1.0,NA,1.0,0.0,NA,1.0,0.0,NA	0.417,NA,NA,NA,NA,1.0,1.0,0.947,1.0,NA	-0.245
93	"ENSG00000155749.12_1"	"ALS2CR12"	chr2	-	202195458	202195556	202207092	202207154	202195192	202195245	202208892	202208986	93	0,0,0,0,12,0,0,0,0,0,0,0,0	0,0,0,0,0,30,0,0,0,0,0,0,0	0,0,0,0,0,0,3,0,0,0	0,0,0,0,0,0,0,0,0,0	212	248	1	1.0	NA,NA,NA,NA,1.0,0.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA	-0.5
97	"ENSG00000153310.18_2"	"FAM49B"	chr8	-	130874474	130874580	130883620	130883742	130867856	130867993	130915557	130915596	97	0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,24,0,0,0,0	0,0,0,0,0,0,0,0,2,0	0,0,0,0,0,0,0,0,0,0	272	256	1	1.0	NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	-1.0
113	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834518	78834561	78834824	78834987	78834246	78834272	78836531	78836609	113	0,57,0,0,0,0,0,0,0,0,0,0,0	0,72,0,0,0,0,0,12,13,0,2,0,0	0,0,0,0,0,0,0,0,0,11	326,0,0,0,0,36,51,0,0,0	193	313	1	1.0	NA,0.562,NA,NA,NA,NA,NA,0.0,0.0,NA,0.0,NA,NA	0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,1.0	-0.109
114	"ENSG00000041357.15_1"	"PSMA4"	chr15	+	78834824	78834987	78836531	78836609	78834518	78834561	78837210	78837299	114	0,4,422,0,0,0,0,207,0,0,0,0,0	0,14,64,0,0,0,0,1,0,0,0,0,0	154,0,0,0,0,0,0,0,0,0	0,0,0,0,0,38,1,0,0,0	313	228	1	1.0	NA,0.172,0.828,NA,NA,NA,NA,0.993,NA,NA,NA,NA,NA	1.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.331
115	"ENSG00000073803.13_1"	"MAP3K13"	chr3	+	185046861	185047037	185146284	185146734	185046682	185046750	185155234	185155418	115	0,0,0,0,0,0,0,0,0,0,0,3,0	0,0,0,0,0,0,0,0,0,0,291,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	326	600	1	1.0	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA	NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA	0.5
119	"ENSG00000168393.12_2"	"DTYMK"	chr2	-	242619643	242619734	242621333	242621748	242617866	242618064	242625183	242625292	119	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,245,0,0,0,0,0,32,0	0,0,0,0,0,0,178,0,0,0	0,0,0,0,0,13,0,0,0,0	565	241	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,0.0,NA	NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA	-0.5
126	"ENSG00000165495.15_2"	"PKNOX2"	chr11	+	125221179	125221288	125237741	125237881	125201714	125201821	125255446	125255618	126	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,137,0,0,0,1,441,0,0	531,0,0,0,0,0,0,0,0,0	378,1,0,0,0,0,1,0,1,0	259	290	1	1.0	NA,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,0.0,NA,NA	0.611,0.0,NA,NA,NA,NA,0.0,NA,0.0,NA	-0.153
128	"ENSG00000128989.10_1"	"ARPP19"	chr15	-	52856386	52856443	52861044	52861097	52849296	52849419	52861312	52861364	128	0,131,0,0,0,0,0,0,0,0,157,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	203	207	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA	1.0
154	"ENSG00000118482.11_1"	"PHF3"	chr6	+	64389900	64390062	64394029	64395812	64356430	64356700	64401626	64401933	154	0,82,316,0,0,0,0,0,0,0,380,0,0	62,600,0,60,79,199,0,50,30,294,1909,467,2	2,0,0,0,0,0,206,0,0,0	646,1449,0,1,3,269,549,3,1013,64	312	1933	1	1.0	0.0,0.458,1.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.552,0.0,0.0	0.019,0.0,NA,0.0,0.0,0.0,0.699,0.0,0.0,0.0	0.088
156	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67778190	67778358	67805936	67805989	67771915	67771938	67839330	67839442	156	0,0,0,0,0,2,0,0,0,190,0,0,0	0,18,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,44,0,0,0,0	203	318	1	1.0	NA,0.0,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.667
157	"ENSG00000141084.10_2"	"RANBP10"	chr16	-	67805936	67805989	67839330	67839442	67778190	67778358	67840204	67840463	157	0,0,0,0,0,0,0,654,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0	262	203	1	1.0	NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,1.0,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
160	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901795	71901940	71898040	71898145	71913809	71913926	160	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,12,0,0	0,0,0,0,0,0,0,133,0,0	295	296	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.083,NA,NA	0.917
161	"ENSG00000102984.14_2"	"ZNF821"	chr16	-	71898805	71898951	71901814	71901940	71898040	71898145	71913809	71913926	161	0,99,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,133,0,0	276	296	1	1.0	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA	1.0
164	"ENSG00000101901.11_2"	"ALG13"	chrX	+	110925359	110925463	110925463	110925522	110924397	110924652	110928192	110928331	164	27,0,0,0,0,0,0,0,0,0,0,0,0	0,6,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,10,0,0,0,0	254	209	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
166	"ENSG00000141644.17_1"	"MBD1"	chr18	-	47800555	47800723	47801346	47801415	47799933	47800233	47801498	47801615	166	0,0,0,0,0,0,0,0,0,0,0,0,0	5,0,0,0,0,0,0,1,42,0,0,0,0	0,0,0,0,0,23,0,0,239,0	0,0,0,0,0,0,0,0,65,0	219	318	1	1.0	0.0,NA,NA,NA,NA,NA,NA,0.0,0.0,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,0.842,NA	-0.921
168	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213244347	213244383	213251037	213251158	213224596	213224851	213277795	213277911	168	0,0,0,0,0,0,0,0,0,0,0,0,0	0,59,12,69,0,0,0,0,14,0,0,131,0	0,0,0,0,0,0,27,0,0,0	0,0,0,0,0,0,0,0,0,1	186	271	1	1.0	NA,0.0,0.0,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA	NA,NA,NA,NA,NA,NA,1.0,NA,NA,0.0	-0.5
169	"ENSG00000136643.11_1"	"RPS6KC1"	chr1	+	213290658	213290752	213302869	213303232	213277795	213277911	213341200	213341316	169	0,95,12,0,0,0,0,0,0,0,0,131,0	0,31,0,0,0,13,0,27,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0	106,0,0,0,0,13,20,0,0,0	244	513	1	1.0	NA,0.866,1.0,NA,NA,0.0,NA,0.0,NA,NA,NA,0.996,NA	0.0,NA,NA,NA,NA,0.0,0.0,NA,NA,NA	0.572
170	"ENSG00000177380.13_2"	"PPFIA3"	chr19	+	49641461	49641684	49642924	49643088	49639980	49640168	49643217	49643345	170	2,0,0,0,0,0,0,124,0,0,0,0,1	0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0	1,0,0,0,0,0,0,0,0,0	373	314	1	1.0	1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0	0.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA	0.5
180	"ENSG00000157823.16_2"	"AP3S2"	chr15	-	90420537	90420656	90421496	90421532	90414706	90414778	90431752	90431864	180	0,56,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,78,0,0,0,0	186	269	1	1.0	NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.5
184	"ENSG00000143401.14_2"	"ANP32E"	chr1	-	150201404	150201570	150202905	150203028	150198939	150199127	150204114	150204264	184	78,0,0,0,0,0,0,0,0,0,0,0,0	0,58,176,0,8,0,0,0,0,0,411,2,0	0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,22,0,0,0,0	273	316	1	1.0	1.0,0.0,0.0,NA,0.0,NA,NA,NA,NA,NA,0.0,0.0,NA	NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA	0.167
189	"ENSG00000062716.11_2"	"VMP1"	chr17	+	57812698	57812834	57814813	57814904	57808781	57808883	57816197	57816308	189	14,0,0,0,0,0,0,73,0,50,0,29,0	0,36,0,0,0,0,0,0,0,0,0,21,0	244,0,0,0,0,35,39,0,0,0	345,0,0,0,0,0,0,0,0,0	286	241	1	1.0	1.0,0.0,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,0.538,NA	0.373,NA,NA,NA,NA,1.0,1.0,NA,NA,NA	-0.083
