ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190719	74190839	74191751	74191967	74190397	74190528	74192171	74192343
1	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190719	74190839	74191762	74191967	74190397	74190528	74192171	74192343
2	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21999790	21999817	21987790	21987911	22033192	22033509
3	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36017521	36017580	36014184	36014453	36020765	36020908
4	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36014184	36014453	36047600	36047698
5	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36017007	36017254	36047600	36047698
6	"ENSG00000254456.5_1"	"RP11-405K6.1"	chr11	+	25762022	25762107	25792017	25792115	25756316	25756416	25799240	25799338
7	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	167299	167374	169124	169254	162620	162774	180520	180590
8	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	173505	173544	174935	175072	169124	169254	180520	180590
9	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73956295	73956456	73969705	73969866	73953539	73953647	73974614	73974774
10	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867385	57867491	57867824	57867959	57866046	57866471	57868205	57868259
11	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867824	57867959	57868205	57868259	57867385	57867491	57868408	57868486
12	"ENSG00000135622.12_1"	"SEMA4F"	chr2	+	74884979	74885078	74889858	74889952	74884691	74884751	74900583	74900703
13	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	874654	874840	876523	876686	874419	874509	877515	877631
14	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	166020127	166020219	166020311	166020403	166019065	166019338	166020901	166021030
15	"ENSG00000279094.3_1"	"CH507-24F1.1"	chrGL000205.1	+	36337	36389	36420	36432	33983	34016	36586	36631
16	"ENSG00000178568.14_2"	"ERBB4"	chr2	-	212522478	212522553	212522674	212522719	212495186	212495319	212530047	212530202
17	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	86416226	86416322	86421865	86421985	86383177	86383330	86443451	86443501
18	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	86416226	86416322	86421881	86421982	86383177	86383330	86443451	86443501
19	"ENSG00000108852.14_1"	"MPP2"	chr17	-	41975629	41975748	41981797	41981861	41960570	41960723	41984841	41984904
20	"ENSG00000130475.14_1"	"FCHO1"	chr19	+	17865125	17865170	17865884	17866000	17858526	17858623	17873570	17873662
21	"ENSG00000152208.12_2"	"GRID2"	chr4	+	93511281	93511437	94006145	94006430	93224772	93225895	94031898	94032104
22	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52729835	52729875	52740436	52740551	52729602	52729673	52743928	52744020
23	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110385060	110385309	110389016	110389121	110376969	110377052	110390896	110391039
24	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403379	110405118	110405124	110399417	110399490	110405262	110405308
25	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403382	110405118	110405124	110399417	110399490	110405262	110405308
26	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403564	110403570	110405118	110405124	110403330	110403382	110405262	110405308
27	"ENSG00000130158.13_1"	"DOCK6"	chr19	-	11339973	11340066	11342860	11342965	11339615	11339711	11343878	11344042
28	"ENSG00000144935.14_1"	"TRPC1"	chr3	+	142455220	142455375	142462326	142462428	142442915	142443573	142467099	142467302
29	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42584977	42585076	42585146	42585245	42583739	42583828	42600289	42600453
30	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42604748	42604932	42607946	42608008	42603155	42603284	42609319	42609430
31	"ENSG00000004777.18_2"	"ARHGAP33"	chr19	+	36269365	36269503	36269556	36269601	36269181	36269262	36269933	36270026
32	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70245146	70245263	70259264	70259387	70223817	70224020	70278334	70278437
33	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70280924	70282845	70283042	70278334	70278437	70286774	70286812
34	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70304432	70304513
35	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70310638	70310819
36	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70286774	70286812	70278334	70278437	70312678	70312756
37	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310638	70310819	70278334	70278437	70312678	70312756
38	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70282845	70283042	70310669	70310819	70278334	70278437	70312678	70312756
39	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70278334	70278437	70312678	70312756
40	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310669	70310819	70278334	70278437	70312678	70312756
41	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70304432	70304513	70282845	70283042	70310638	70310819
42	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70286774	70286812	70310638	70310819	70282845	70283042	70312678	70312756
43	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70304432	70304513	70308501	70308622	70286774	70286812	70310669	70310819
44	"ENSG00000171466.9_2"	"ZNF562"	chr19	-	9768684	9768811	9770054	9770143	9767222	9767329	9771395	9771550
45	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38540416	38540480	38541171	38541238	38539119	38539269	38542845	38542985
46	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38540416	38540480	38541580	38541655	38539119	38539269	38542845	38542985
47	"ENSG00000157036.12_2"	"EXOG"	chr3	+	38541171	38541238	38541580	38541655	38539119	38539269	38542845	38542985
48	"ENSG00000135720.12_2"	"DYNC1LI2"	chr16	-	66776340	66776571	66783099	66783216	66769977	66770147	66785175	66785249
49	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10868953	10902393	10902463	10867895	10867985	10911959	10912039
50	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10868953	10911959	10912039	10867895	10867985	10912341	10912457
51	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10868808	10869404	10902393	10902463	10867895	10867985	10911959	10912039
52	"ENSG00000179152.19_1"	"TCAIM"	chr3	+	44396230	44396303	44399232	44399368	44379610	44379811	44402856	44403010
53	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13347959	13348014	13371491	13371617	13331533	13331606	13375847	13375995
54	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13371491	13371617	13375847	13375995	13331533	13331606	13378285	13378324
55	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13375847	13375995	13378285	13378324	13371491	13371617	13378601	13378643
