ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151550	73151258	73151440	73151891	73152065
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73151721	73151550	73151690	73151891	73152065
2	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73152657	73152793	73152657	73152772	73152975	73153182
3	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190719	74190839	74190723	74190839	74190397	74190528
4	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74191762	74191967	74190397	74190528
5	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74191762	74191967	74190723	74190839
6	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021552	30021281	30021347	30022219	30022310
7	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30021281	30021347	30022223	30022310
8	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30021281	30021552	30022223	30022401
9	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37187351	37187462	37187351	37187441	37188828	37188887
10	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37388489	37388631	37388489	37388608	37390167	37390400
11	"ENSG00000147655.10_1"	"RSPO2"	chr8	-	108970307	108970496	108970307	108970493	108972901	108973045
12	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61548428	61548517	61548431	61548517	61547693	61547762
13	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61548428	61548517	61548431	61548517	61548183	61548264
14	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61550969	61551072	61550984	61551072	61549044	61549296
15	"ENSG00000101096.19_1"	"NFATC2"	chr20	-	50139619	50140649	50139619	50140135	50158908	50159258
16	"ENSG00000101096.19_1"	"NFATC2"	chr20	-	50139619	50140649	50139619	50140135	50179098	50179370
17	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21955572	21955688	21955572	21955685	21957058	21957148
18	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113298833	113299054	113298885	113299054	113236956	113237008
19	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113344881	113345159	113345099	113345159	113332982	113333181
20	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632346	35632476	35632439	35632476	35632035	35632110
21	"ENSG00000100629.16_2"	"CEP128"	chr14	-	81382744	81382906	81382744	81382884	81405728	81405884
22	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88778468	88778791	88778681	88778791	88778042	88778103
23	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57470666	57470739
24	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57478582	57478640	57478585	57478640	57473995	57474040
25	"ENSG00000166343.9_1"	"MSS51"	chr10	-	75185568	75186135	75185568	75185704	75186364	75186489
26	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73945297	73945441	73945297	73945440	73945575	73945681
27	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58019364	58019535	58019407	58019535	58019192	58019247
28	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57867385	57867491	57867385	57867474	57867824	57867959
29	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57870372	57870746	57870372	57870434	57870938	57871052
30	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78577602	78578066	78577602	78577681	78578382	78578475
31	"ENSG00000140395.8_2"	"WDR61"	chr15	-	78584957	78585227	78584957	78585130	78585508	78585614
32	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48752634	48752784	48752634	48752737	48754041	48754141
33	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48752634	48753255	48752634	48752737	48754041	48754141
34	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48752634	48753255	48752634	48752784	48754041	48754141
35	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	65992881	65993013	65992881	65993010	65993388	65993530
36	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	874651	874792	874654	874792	874419	874509
37	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67160966	67161081	67161008	67161081	67160124	67160253
38	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67161161	67161261	67161193	67161261	67160966	67161081
39	"ENSG00000099814.15_1"	"CEP170B"	chr14	+	105349368	105349845	105349371	105349845	105349064	105349169
